iter	Passed	Remaining
0	0	685
1	1	620
2	1	594
3	2	575
4	2	562
5	3	559
6	3	562
7	4	559
8	5	555
9	5	545
10	6	546
11	6	553
12	7	551
13	7	547
14	8	552
15	8	546
16	9	544
17	9	543
18	10	540
19	10	538
20	11	537
21	12	540
22	12	539
23	13	536
24	13	536
25	14	535
26	14	532
27	15	530
28	15	529
29	16	530
30	16	527
31	17	526
32	17	527
33	18	525
34	18	523
35	19	522
36	20	521
37	20	520
38	21	519
39	21	519
40	22	519
41	22	519
42	23	519
43	23	517
44	24	517
45	24	515
46	25	514
47	25	513
48	26	511
49	26	512
50	27	510
51	28	510
52	28	511
53	29	509
54	29	508
55	30	507
56	30	506
57	31	505
58	31	504
59	32	502
60	32	499
61	32	498
62	33	497
63	33	496
64	34	497
65	35	496
66	35	495
67	36	494
68	36	492
69	36	491
70	37	490
71	37	488
72	38	487
73	38	486
74	39	485
75	39	484
76	40	483
77	40	482
78	41	482
79	41	482
80	42	482
81	43	481
82	43	479
83	43	478
84	44	479
85	45	479
86	45	478
87	46	478
88	46	477
89	47	476
90	47	476
91	48	475
92	48	475
93	49	474
94	49	474
95	50	473
96	50	473
97	51	472
98	51	471
99	52	470
100	52	469
101	53	469
102	53	468
103	54	467
104	54	467
105	55	466
106	55	466
107	56	466
108	56	465
109	57	465
110	58	464
111	58	464
112	59	463
113	59	463
114	60	462
115	60	462
116	61	461
117	61	460
118	62	460
119	62	459
120	63	458
121	63	457
122	64	456
123	64	456
124	65	455
125	65	455
126	66	454
127	66	454
128	67	453
129	67	452
130	68	452
131	68	451
132	69	451
133	69	451
134	70	450
135	70	449
136	71	448
137	71	447
138	72	447
139	72	446
140	73	446
141	73	444
142	74	444
143	74	443
144	75	442
145	75	441
146	75	440
147	76	439
148	76	438
149	77	437
150	77	436
151	78	436
152	78	435
153	79	434
154	79	433
155	80	433
156	80	433
157	81	432
158	81	431
159	82	431
160	82	429
161	82	428
162	83	427
163	83	427
164	84	426
165	84	425
166	85	425
167	85	424
168	86	423
169	86	423
170	87	422
171	87	421
172	88	421
173	88	421
174	89	420
175	89	420
176	90	419
177	90	418
178	91	418
179	91	417
180	92	416
181	92	416
182	93	415
183	94	417
184	94	416
185	94	415
186	95	415
187	95	414
188	96	413
189	96	412
190	97	412
191	97	411
192	98	410
193	98	409
194	99	409
195	99	408
196	100	407
197	100	407
198	100	406
199	101	405
200	101	404
201	102	403
202	102	403
203	103	402
204	103	401
205	104	401
206	104	400
207	104	399
208	105	398
209	105	398
210	106	397
211	106	396
212	107	396
213	107	395
214	108	395
215	108	394
216	109	394
217	109	393
218	110	392
219	110	392
220	111	391
221	111	391
222	112	390
223	112	389
224	112	389
225	113	388
226	113	387
227	114	387
228	114	386
229	115	385
230	115	385
231	116	384
232	116	383
233	117	383
234	117	382
235	117	381
236	118	381
237	118	380
238	119	380
239	120	380
240	120	379
241	121	379
242	121	379
243	122	378
244	122	378
245	123	377
246	123	377
247	124	376
248	124	375
249	125	375
250	125	375
251	126	374
252	126	373
253	127	373
254	127	372
255	128	372
256	128	371
257	129	371
258	129	370
259	129	369
260	130	369
261	130	368
262	131	368
263	131	367
264	132	366
265	132	366
266	133	365
